instance,problem,approach,n_jobs,gamma,k,time,objective,n_active_col,quality,gap,rule_for_branching
instance_n15_r10_d5_4.txt,2,colgen-ext,15,1,0,5.693,262.640,3,Optimal,0.00000,default
instance_n10_r5_d10_0.txt,2,colgen-ext,10,7,0,5.665,129.000,1,Optimal,0.00000,default
instance_n15_r30_d10_2.txt,2,colgen-ext,15,7,0,9.528,250.000,1,Optimal,0.00000,default
instance_n5_r10_d30_3.txt,2,colgen-ext,5,3,0,4.047,161.000,1,Optimal,0.00000,default
instance_n5_r20_d10_3.txt,2,colgen-ext,5,1,0,0.454,48.990,2,Optimal,0.00000,default
instance_n15_r10_d10_0.txt,2,colgen-ext,15,4,0,127.013,372.000,1,Optimal,0.00000,default
instance_n15_r10_d10_2.txt,2,colgen-ext,15,3,0,25.100,296.000,1,Optimal,0.00000,default
instance_n5_r30_d10_4.txt,2,colgen-ext,5,2,0,0.036,58.000,1,Optimal,0.00000,default
instance_n5_r10_d5_4.txt,2,colgen-ext,5,3,0,0.011,145.000,1,Optimal,0.00000,default
instance_n15_r20_d20_4.txt,2,colgen-ext,15,7,0,53.661,241.000,1,Optimal,0.00000,default
instance_n10_r10_d30_3.txt,2,colgen-ext,10,5,0,169.201,145.000,1,Optimal,0.00000,default
instance_n10_r5_d20_3.txt,2,colgen-ext,10,3,0,0.998,273.000,1,Optimal,0.00000,default
instance_n15_r30_d20_1.txt,2,colgen-ext,15,3,0,386.809,181.571,8,Optimal,0.00000,default
instance_n5_r5_d5_3.txt,2,colgen-ext,5,2,0,0.117,94.000,1,Optimal,0.00000,default
instance_n10_r20_d10_3.txt,2,colgen-ext,10,7,0,5.133,106.000,1,Optimal,0.00000,default
instance_n10_r5_d20_1.txt,2,colgen-ext,10,4,0,39.246,105.000,1,Optimal,0.00000,default
instance_n5_r5_d10_3.txt,2,colgen-ext,5,3,0,0.026,76.000,1,Optimal,0.00000,default
instance_n15_r30_d20_3.txt,2,colgen-ext,15,4,0,36.488,98.000,1,Optimal,0.00000,default
instance_n15_r20_d10_2.txt,2,colgen-ext,15,8,0,5.178,165.000,1,Optimal,0.00000,default
instance_n10_r30_d10_4.txt,2,colgen-ext,10,4,0,2.271,128.000,1,Optimal,0.00000,default
instance_n10_r30_d30_0.txt,2,colgen-ext,10,5,0,6.562,112.000,1,Optimal,0.00000,default
instance_n5_r30_d20_4.txt,2,colgen-ext,5,2,0,0.182,47.000,1,Optimal,0.00000,default
instance_n10_r30_d30_2.txt,2,colgen-ext,10,2,0,38.531,137.000,1,Optimal,0.00000,default
instance_n5_r20_d20_3.txt,2,colgen-ext,5,1,0,2.307,84.912,2,Optimal,0.00000,default
instance_n15_r30_d10_3.txt,2,colgen-ext,15,4,0,3.360,178.000,1,Optimal,0.00000,default
